mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	GL14_bins128_im_minus	1	7	1.0	4122.502424515216	-0.00029803681485962954	-0.0001308869385181509	0.000325510881056728	9.698586648779306e+44
selected_channel	GL14_bins128_im_minus	1	7	0.5	8246.00484902501	-0.0005961334688869466	-0.00026167597220637357	0.0006510371933747986	2.484976418593825e+47
selected_channel	GL14_bins128_im_minus	1	7	0.25	16493.00969805002	-0.0011923266532180166	-0.0005232540673392666	0.001302089730764037	6.36427770691768e+49
selected_channel	GL14_bins128_im_minus	1	7	0.125	32987.01939610004	-0.002384712960126035	-0.001046410271491531	0.0026041947620091812	1.629605639108542e+52
selected_channel	GL14_bins128_im_minus	1	7	0.0625	65975.03879253322	-0.004769485540350821	-0.002092722686925341	0.005208404800319151	4.1722391816774216e+54
selected_channel	GL14_bins128_im_minus	2	7	16.0	256.718901532201	-1.8649807364253446e-05	-8.306442551794674e-06	2.041598154853269e-05	2.200284184738489e+35
selected_channel	GL14_bins128_im_minus	2	7	8.0	514.437803064402	-3.7282127097423284e-05	-1.648024809420548e-05	4.0762183186809153e-05	5.711397540247004e+37
selected_channel	GL14_bins128_im_minus	2	7	4.0	1029.875606128804	-7.454483422916727e-05	-3.282862449280144e-05	8.145336639048991e-05	1.4722547057608434e+40
selected_channel	GL14_bins128_im_minus	2	7	2.0	2060.751212257608	-0.0001490692933756242	-6.552575998307016e-05	0.0001628351296522554	3.781990428451858e+42
selected_channel	GL14_bins128_im_minus	2	7	1.0	4122.502424515216	-0.00029811773685841996	-0.00013092022230473566	0.0003255983563194193	9.698586648779306e+44
selected_channel	GL14_bins128_im_minus	2	7	0.5	8246.00484902501	-0.0005962143871010792	-0.0002617092426172713	0.0006511246601516651	2.484976418593825e+47
selected_channel	GL14_bins128_im_minus	2	7	0.25	16493.00969805002	-0.001192407569481093	-0.0005232873310685316	0.001302177193247	6.36427770691768e+49
selected_channel	GL14_bins128_im_minus	2	7	0.125	32987.01939610004	-0.0023847938750344126	-0.001046443531894482	0.0026042822220038765	1.629605639108542e+52
selected_channel	GL14_bins128_im_minus	2	7	0.0625	65975.03879253322	-0.004769566453108446	-0.0020927559457145587	0.005208492257740345	4.1722391816774216e+54
selected_channel	GL14_bins128_im_minus	3	7	16.0	256.718901532201	-1.8553688191086373e-05	-8.254754781393576e-06	2.0307149528995892e-05	2.200284184738489e+35
selected_channel	GL14_bins128_im_minus	3	7	8.0	514.437803064402	-3.718594014964334e-05	-1.6428778979792257e-05	4.065339990184979e-05	5.711397540247004e+37
selected_channel	GL14_bins128_im_minus	3	7	4.0	1029.875606128804	-7.444861418127495e-05	-3.2777265019397244e-05	8.134460803067488e-05	1.4722547057608434e+40
selected_channel	GL14_bins128_im_minus	3	7	2.0	2060.751212257608	-0.00014897305697375284	-6.5474455405579e-05	0.00016272638389260103	3.781990428451858e+42
selected_channel	GL14_bins128_im_minus	3	7	1.0	4122.502424515216	-0.00029802149233159377	-0.00013086894519342805	0.0003254896168967463	9.698586648779306e+44
selected_channel	GL14_bins128_im_minus	3	7	0.5	8246.00484902501	-0.0005961181385233685	-0.00026165797924395013	0.0006510159239055474	2.484976418593825e+47
selected_channel	GL14_bins128_im_minus	3	7	0.25	16493.00969805002	-0.0011923113185920268	-0.0005232360745864086	0.0013020684583351413	6.36427770691768e+49
selected_channel	GL14_bins128_im_minus	3	7	0.125	32987.01939610004	-0.002384697623885856	-0.0010463922787810715	0.0026041734885486204	1.629605639108542e+52
