mode	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	12	10	0.0625	526642.3765146042	-0.5583748273633593	-0.14635701150306832	0.577237232556226	6.135626670534234e+62
selected_channel	13	10	16.0	2056.2006895537943	0.002222725272208267	0.002239925743853618	0.003155594234639729	3.3195220803022064e+43
selected_channel	13	10	8.0	4113.401379107589	0.0044415847699313775	0.004478079222702388	0.006307207685916581	8.506464555648617e+45
selected_channel	13	10	4.0	8227.802758215177	0.008879306917543137	0.008954385310381929	0.0126104364564718	2.1787419990607044e+48
selected_channel	13	10	2.0	16456.605516430354	0.017754752787837707	0.01790699705176299	0.02521689493115834	5.578971358086577e+50
selected_channel	13	10	1.0	32914.21103286071	0.03550564531521672	0.03581222031832829	0.05042981234724612	1.4283948480430382e+53
selected_channel	13	10	0.5	65829.42206563668	0.07100743076393752	0.07162266673894348	0.10085564741001438	3.65691889768933e+55
selected_channel	13	10	0.25	131659.84413192148	0.14201100186331264	0.14324355956201767	0.2017073176813848	9.362004339589753e+57
selected_channel	13	10	0.125	263320.68826519884	0.2840181441706213	0.28648534512368773	0.4034106582488399	2.3967104827345258e+60
selected_channel	13	10	0.0625	526642.3765146042	0.5680324289509808	0.572968916335956	0.8068173395677307	6.135626670534234e+62
