path	radius	relative_radius	raw_abs_weight	bad_channel_probability_ose_alpha1	bad_channel_probability_ose_alpha3	bad_channel_probability_ose_alpha4	bad_channel_probability_jacobian_linear	bad_channel_probability_jacobian_log	bad_channel_weighted_abs_ose_alpha1	bad_channel_weighted_abs_ose_alpha3	bad_channel_weighted_abs_ose_alpha4	bad_channel_weighted_abs_jacobian_linear	bad_channel_weighted_abs_jacobian_log
fixed relative q	528.7744232907843	0.2	2492.9594739733657	0.0003780894246142631	5.410984498399481e-11	2.046609817235424e-14	3.108613034216654e-09	4.3462617104716994e-10	0.9425616131012658	1.3489365068808006e-07	5.102115333403948e-11	7.749646314567498e-06	1.0835054307488109e-06
fixed relative q	568.4823443592555	0.2	2680.165926259291	0.0003516896321413941	4.3544868914402974e-11	1.531966669876409e-14	2.3754746633544642e-09	2.432813199375039e-10	0.9425865686840289	1.1670747392781027e-07	4.105924868767667e-11	6.366666251414895e-06	6.520343041918831e-07
fixed relative q	611.1721021545633	0.2	2881.4305410760267	0.00032713257003075453	3.504270656729659e-11	1.1467362008200131e-14	1.8129740272401954e-09	1.317954065808648e-10	0.9426097782673082	1.0097312494497385e-07	3.304240711600277e-11	5.223958732267499e-06	3.797593096956362e-07
fixed relative q	657.0676154824831	0.2	3097.809003312002	0.0003042896973913939	2.8200594203259845e-11	8.58376222701994e-15	1.3820323330210955e-09	6.893248967038934e-11	0.9426313641941446	8.73600546216066e-08	2.659085590915185e-11	4.28127220410104e-06	2.1353968712164367e-07
fixed relative q	706.409618164559	0.2	3330.4362738890436	0.00028304142841601473	2.2694407256479067e-11	6.4252760663901355e-15	1.0523432016309957e-09	3.4716290085387006e-11	0.9426514402100645	7.558227714138861e-08	2.1398972481256814e-11	3.5047619712924e-06	1.1562039179522745e-07
fixed relative q	759.4569217491764	0.2	3580.5325429255577	0.0002632765100636836	1.8263306220977836e-11	4.8095657698620264e-15	8.004521802644941e-10	1.678787333995667e-11	0.9426701120708872	6.539236226562593e-08	1.7220806756331798e-11	2.866045080492736e-06	6.010952682022723e-08
fixed relative q	816.4877730449796	0.2	3849.4096299488583	0.00024489144277396464	1.4697380361735227e-11	3.6001443263742195e-15	6.082434681146329e-10	7.77116096130226e-12	0.9426874781061693	5.6576237499484816e-08	1.3858430239150666e-11	2.341378263513959e-06	2.991438184031955e-08
fixed relative q	877.8013135972488	0.2	4138.477864727405	0.00022778994126766534	1.1827703947386838e-11	2.6948458463154902e-15	4.6175104592801815e-10	3.432252819872893e-12	0.9427036297437887	4.8948690976809384e-08	1.1152559883829247e-11	1.9109464825878307e-06	1.4204302321192185e-08
fixed relative q	943.7191487625704	0.2	4449.253484814704	0.00021188243268533254	9.518333974362309e-12	2.017195165837461e-15	3.502273113863488e-10	1.4412658474781214e-12	0.9427186519962328	4.234948060506169e-08	8.975012621153697e-12	1.558250085662997e-06	6.41255709443645e-09
fixed relative q	1014.5870346119995	0.2	4783.366588606914	0.0001970855895005168	7.65987031639079e-12	1.5099476457368257e-15	2.6541541568449045e-10	5.732362845807266e-13	0.9427326239126695	3.6639967744485575e-08	7.222633119163201e-12	1.269579231486407e-06	2.7419992910406124e-09
fixed relative q	1090.7766915109553	0.2	5142.569685629961	0.00018332189481714368	6.1642732425479e-12	1.1302534512057699e-15	2.0098221062221687e-10	2.150689106824005e-13	0.9427456189988873	3.1700204711066734e-08	5.812407135249435e-12	1.0335650236967083e-06	1.1060068603967705e-09
fixed relative q	1172.6877538885456	0.2	5528.746888904638	0.00017051923782211869	4.960692807151727e-12	8.460378222739904e-16	1.5207743549881574e-10	7.578315373367872e-14	0.9427577056074287	2.7426414924351723e-08	4.677528977792979e-12	8.407976483866732e-07	4.189858754364581e-10
