include_integrated_ct	mode	case	radius	original	local_double_uv_ct	subtracted	relative_norm
False	3d_cff_expansion	locked equal	15068922.239342386	18337071.88247462	17329260575243.771	-17329242238171.889	0.0
False	3d_cff_expansion	locked equal	16050163.175336856	19531124.469087634	18457687651637.41	-18457668120512.94	0.0
False	3d_cff_expansion	locked equal	17095299.44234296	20802930.013683002	19659594358694.426	-19659573555764.41	0.0
False	3d_cff_expansion	locked equal	18208491.70383826	22157551.544926938	20939765459414.023	-20939743301862.477	0.0
False	3d_cff_expansion	locked equal	19394171.55265149	23600381.78002666	22303297285549.24	-22303273685167.457	0.0
False	3d_cff_expansion	locked equal	20657059.153031833	25137164.59301374	23755618025986.633	-23755592888822.04	0.0
False	3d_cff_expansion	locked equal	22002182.031514395	26774017.880974714	25302509336241.574	-25302482562223.69	0.0
False	3d_cff_expansion	locked equal	23434895.091387887	28517457.919258885	26950129355096.09	-26950100837638.17	0.0
False	3d_cff_expansion	locked equal	24960901.93044159	30374425.30262078	28705037220007.844	-28705006845582.543	0.0
False	3d_cff_expansion	locked equal	26586277.546857376	32352312.575568743	30574219178886.0	-30574186826573.426	0.0
False	3d_cff_expansion	locked equal	28317492.523637667	34458993.661914445	32565116402183.332	-32565081943189.67	0.0
False	3d_cff_expansion	locked equal	30161438.78784795	36702855.21068305	34685654606025.16	-34685617903169.95	0.0
False	3d_cff_expansion	locked equal	32125457.047220122	39092829.98317028	36944275604303.16	-36944236511473.17	0.0
False	3d_cff_expansion	locked equal	34217366.01334139	41638432.41406004	39349970915342.61	-39349929276910.195	0.0
False	3d_cff_expansion	locked equal	36445493.52776552	44349796.48817035	41912317556930.37	-41912273207133.88	0.0
False	3d_cff_expansion	locked equal	38818709.71495879	47237716.08361411	44641516172202.62	-44641468934486.53	0.0
False	3d_cff_expansion	locked equal	41346462.29406202	50313687.94198036	47548431638171.336	-47548381324483.39	0.0
False	3d_cff_expansion	locked equal	44038814.19004314	53589957.43659798	50644636318549.62	-50644582728592.18	0.0
False	3d_cff_expansion	locked equal	46906483.59397062	57079567.32108604	53942456133066.22	-53942399053498.9	0.0
False	3d_cff_expansion	locked equal	49960886.63188594	60796409.652256384	57455019626668.836	-57454958830259.19	0.0
False	3d_cff_expansion	locked equal	53214182.81213916	64755281.09407271	61196310233960.05	-61196245478678.95	0.0
False	3d_cff_expansion	locked equal	56679323.432112455	68971941.82283	65181221946929.32	-65181152974987.5	0.0
False	3d_cff_expansion	locked equal	60370103.13703756	73463178.26805462	69425618607593.195	-69425545144414.93	0.0
False	3d_cff_expansion	locked equal	64301214.83616161	78246869.93889439	73946397061585.84	-73946318814715.9	0.0
False	3d_cff_expansion	locked equal	68488308.19488135	83342060.60203412	78761554424113.56	-78761471082052.95	0.0
False	3d_cff_expansion	locked equal	72948051.93570219	88769034.09449384	83890259726057.52	-83890170957023.42	0.0
False	3d_cff_expansion	locked equal	77698200.19603893	94549395.07311732	89352930225444.77	-89352835676049.69	0.0
False	3d_cff_expansion	locked equal	82757663.20702957	100706155.0222154	95171312688084.0	-95171211981928.98	0.0
