include_integrated_ct	mode	delta	abs_subtracted	measure_weighted_delta2_abs_subtracted
False	3d_cff_expansion	0.020597168951669565	54636860.786975555	23179.325882213692
False	3d_cff_expansion	0.021822883483601802	51502145.54302657	24527.291331893717
False	3d_cff_expansion	0.023121538919078363	48543635.73807015	25951.697664616775
False	3d_cff_expansion	0.024497475889846056	45751442.45889539	27456.645025097507
False	3d_cff_expansion	0.025955293333801626	43116232.69377588	29046.425159619117
False	3d_cff_expansion	0.0274998638665022	40629198.02470938	30725.526802223227
False	3d_cff_expansion	0.02913635006741758	38282025.31453097	32498.64089418896
False	3d_cff_expansion	0.03087022173535881	36066868.80243812	34370.66524175929
False	3d_cff_expansion	0.03270727417075828	33976323.89526158	36346.70875841914
False	3d_cff_expansion	0.03465364754590801	32003402.481034074	38432.09517894503
False	3d_cff_expansion	0.03671584742789876	30141509.438712616	40632.36585785868
False	3d_cff_expansion	0.038900766522856935	28384420.71907246	42953.2820114901
False	3d_cff_expansion	0.041215707714156134	26726262.43439993	45400.82572051997
False	3d_cff_expansion	0.04366840847160741	25161491.246622358	47981.19994759988
False	3d_cff_expansion	0.04626706671321315	23684875.83528558	50700.82724113501
False	3d_cff_expansion	0.04902036820592464	22291479.358281426	53566.346856471384
False	3d_cff_expansion	0.051937515596988816	20976643.007685978	56584.61043828972
False	3d_cff_expansion	0.0550282591729173	19735970.311094817	59762.67539357816
False	3d_cff_expansion	0.0583029294488879	18565312.530974805	63107.796690967945
False	3d_cff_expansion	0.061772471697505	17460754.689888034	66627.41578749764
False	3d_cff_expansion	0.06544848253232732	16418602.498847201	70329.14727458866
False	3d_cff_expansion	0.06934324866844159	15435369.95837899	74220.76244724971
False	3d_cff_expansion	0.0734697879896336	14507767.699177219	78310.16989733723
False	3d_cff_expansion	0.07784189305942152	13632691.926622564	82605.39244781215
False	3d_cff_expansion	0.08247417722138224	12807214.035049962	87114.54062041103
False	3d_cff_expansion	0.0873821234428559	12028570.746171447	91845.78177224347
False	3d_cff_expansion	0.0925821360652859	11294154.845505884	96807.30521734356
False	3d_cff_expansion	0.09809159563416273	10601506.403321328	102007.2825752046
False	3d_cff_expansion	0.10392891699183728	9948304.506866984	107453.82348763001
False	3d_cff_expansion	0.11011361082737267	9332359.42683223	113154.92607803435
False	3d_cff_expansion	0.11666634888915876	8751605.235527055	119118.4223474538
False	3d_cff_expansion	0.12360903307825576	8204092.826994258	125351.91817383935
False	3d_cff_expansion	0.13096486865340778	7687983.318737226	131862.72784932682
False	3d_cff_expansion	0.13875844179240318	7201541.814631918	138657.80316703193
False	3d_cff_expansion	0.14701580176902426	6743131.509579189	145743.65717577373
False	3d_cff_expansion	0.15576454802025858	6311208.119008061	153126.28289142245
False	3d_cff_expansion	0.16503392239477985	5904314.603139282	160811.06706672002
False	3d_cff_expansion	0.17485490689103309	5521076.177402309	168802.69962510024
False	3d_cff_expansion	0.18526032721160685	5160195.59256245	177105.07941531623
False	3d_cff_expansion	0.1962849624800075	4820448.663861415	185721.21693511071
False	3d_cff_expansion	0.2079656614865582	4500680.0397562	194653.13513550526
False	3d_cff_expansion	0.22034146585195902	4199799.191335542	203901.76927665152
False	3d_cff_expansion	0.23345374052017745	3916776.617414975	213466.86749168095
False	3d_cff_expansion	0.2473463120168214	3650640.2437482537	223346.89318870826
