point_index	source	scan_row_index	x0	x1	x2	x3	x4	x5	dx2_from_root	signed_side_fraction	t	total_re	total_im	total_abs	dominant_re	dominant_im	dominant_abs	other_re	other_im	other_abs	scan_re	scan_im	scan_abs	is_nan
60	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181267278851	0.7527842995682404	0.5585112730395129	0.25621170988207465	3.207807797167561e-09			-186.80317989242866	-478.03559858544156	513.2382112945844	-186.8031145280526	-478.03565572484973	513.238240724196	-6.536437606996515e-05	5.713940817031471e-05	8.68182793256677e-05				False
61	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181279168739	0.7527842995682404	0.5585112730395129	0.25621170988207465	4.3967965934754716e-09			-136.2940123852328	-348.7808924571604	374.4651769594595	-136.2939470208573	-348.7809495965673	374.46520638906827	-6.536437550153096e-05	5.7139406919759494e-05	8.681827807464855e-05				False
62	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181295465668	0.7527842995682404	0.5585112730395129	0.25621170988207465	6.0264895296313625e-09			-99.44060601191174	-254.47175125163503	273.21110209706023	-99.44054064753698	-254.47180839104013	273.2111315266651	-6.536437476256651e-05	5.713940510077009e-05	8.681827632112465e-05				False
63	root_log_probe		0.5387589249438893	0.24174091659991892	0.944118131780313	0.7527842995682404	0.5585112730395129	0.25621170988207465	8.260235717649778e-09			-72.5515498784091	-185.66172685146077	199.33390129936683	-72.55148451403537	-185.66178399086343	199.33393072896632	-6.536437373938497e-05	5.713940265650308e-05	8.68182739420912e-05				False
64	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181348420075	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.1321930171170891e-08			-52.9330321758824	-135.45726169271617	145.43237480224957	-52.93296681151009	-135.45731883211545	145.4324042318417	-6.536437231119407e-05	5.713939927431966e-05	8.681827064084217e-05				False
65	root_log_probe		0.5387589249438893	0.24174091659991892	0.944118139038533	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.5518455742657977e-08			-38.61933049583983	-98.82800416243309	106.10573544666093	-38.619265131469476	-98.82806130182774	106.10576487624297	-6.536437035720155e-05	5.7139394655791875e-05	8.681826613002442e-05				False
66	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181447905203	0.7527842995682404	0.5585112730395129	0.25621170988207465	2.1270442962517677e-08			-28.176118726786274	-72.10346414597922	77.41319789516815	-28.176053362418592	-72.10352128536753	77.41322732473637	-6.536436768200815e-05	5.713938831775067e-05	8.681825994452696e-05				False
67	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181526745079	0.7527842995682404	0.5585112730395129	0.25621170988207465	2.9154430647437835e-08			-20.55685002853848	-52.6054920924269	56.4793934225768	-20.556784664174465	-52.60554923180653	56.479422852126056	-6.536436401560763e-05	5.7139379627813014e-05	8.681825146486305e-05				False
68	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181634807321	0.7527842995682404	0.5585112730395129	0.25621170988207465	3.9960654785176075e-08			-14.997926730904332	-38.38001516050586	41.20635108749906	-14.99786136654534	-38.38007229987359	41.206380517022325	-6.536435899207049e-05	5.713936772622219e-05	8.681823984968083e-05				False
69	root_log_probe		0.5387589249438893	0.24174091659991892	0.944118178292333	0.7527842995682404	0.5585112730395129	0.25621170988207465	5.477225573091715e-08			-10.942220071907734	-28.001321584240696	30.06336958103872	-10.942154707555634	-28.00137872359211	30.063399010526386	-6.536435209980596e-05	5.713935141571369e-05	8.681822392583155e-05				False
70	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181985939222	0.7527842995682404	0.5585112730395129	0.25621170988207465	7.50738449184496e-08			-7.983244930235549	-20.429201882982696	21.933638302657297	-7.983179565892888	-20.429259022311744	21.933667732096144	-6.536434266113389e-05	5.713932904782837e-05	8.681820209816678e-05				False
71	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441182264203889	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.029003116048699e-07			-5.824430083771178	-14.904720044667231	16.002333123974264	-5.824364719441459	-14.90477718396563	16.002362553346202	-6.536432971859796e-05	5.713929839856746e-05	8.681817218210783e-05				False
72	saved_scan_row	33	0.5387589249438893	0.24174091659991892	0.9441182287966725	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.0527659521919475e-07	-8.685113737513521e-07	-8.199781320362245e-07	-5.6929640900471155	-14.568294020976035	15.641132657585002	-5.692898725718503	-14.568351160271819	15.641162086951232	-6.536432861281583e-05	5.7139295783770194e-05	8.681816962865176e-05	-5.692964090047116	-14.568294020976037	15.641132657585004	False
73	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441182645608639	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.4104078660537311e-07			-4.24939994013082	-10.874163446678685	11.674965974951133	-4.249334575818839	-10.874220585935067	11.674995404231364	-6.536431198078674e-05	5.713925638239914e-05	8.681813117462942e-05				False
74	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441183168382817	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.9331820444445924e-07			-3.1002890794147815	-7.933549020921537	8.51780443795839	-3.1002237151271133	-7.933606160120333	8.517833867112921	-6.536428766823477e-05	5.713919879646312e-05	8.681807496989022e-05				False
75	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441183884925657	0.7527842995682404	0.5585112730395129	0.25621170988207465	2.649724883951876e-07			-2.2619210144081703	-5.788136154116873	6.214403174401879	-2.2618556501538256	-5.788193293236738	6.21443260338412	-6.536425434466864e-05	5.713911986493514e-05	8.68179979323064e-05				False
76	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441184867058402	0.7527842995682404	0.5585112730395129	0.25621170988207465	3.631857629082802e-07			-1.650264975888552	-4.222887202273165	4.533889148817704	-1.6501996116798825	-4.222944341284841	4.533918577563794	-6.536420866942727e-05	5.7139011675921836e-05	8.681789233954924e-05				False
77	saved_scan_row	34	0.5387589249438893	0.24174091659991892	0.9441185115837143	0.7527842995682404	0.5585112730395129	0.25621170988207465	3.8806363700238933e-07	-5.689866029018304e-07	-5.37191090297283e-07	-1.5444740362783917	-3.9521645298882864	4.243230434473853	-1.5444086720812922	-3.9522216688725575	4.243259863160125	-6.536419709957109e-05	5.7138984271176696e-05	8.681786559236155e-05	-1.5444740362783917	-3.952164529888287	4.243230434473854	False
78	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441186213223178	0.7527842995682404	0.5585112730395129	0.25621170988207465	4.978022405399685e-07			-1.204013490956686	-3.080914222408226	3.3078211759771703	-1.2039481268106211	-3.0809713612716143	3.3078506043995803	-6.536414606483909e-05	5.713886338831742e-05	8.681774761011956e-05				False
