point_index	source	x2	dx2_from_root	event_graph_id	event_graph_name	term_key	edge_ids	weighted_re	weighted_im	weighted_abs	pole_scaled_re	pole_scaled_im	pole_scaled_abs	raw_re	raw_im	raw_abs
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:35:0	13,16	4.749811241780527e-19	-2.8960852353838236e-18	2.9347771225313898e-18	-2.601578760083882e-26	1.5862512113097619e-25	1.6074436306853446e-25	8.758797641665884e-39	-5.340470018390535e-38	5.411819045256846e-38
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:36:0	9,14,16	-4.6554240897252616e-08	-1.2160716403574788e-07	1.3021366936822232e-07	2.5498807877830423e-15	6.6606986872775745e-15	7.132096398297367e-15	-8.584744837724287e-28	-2.24247341072591e-27	2.4011800093081387e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:37:0	9,10,16	2.565630217618341e-29	-2.0616346338658777e-27	2.0617942694159975e-27	-1.405253543903604e-36	1.1292037938981761e-34	1.1292912298899251e-34	4.731100828132784e-49	-3.801717510423024e-47	3.802011883274648e-47
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:38:0	11,16	-2.3581464927768187e-08	-3.9617805785352205e-08	4.6104837310042076e-08	1.2916100275333729e-15	2.16995658997312e-15	2.525265939577955e-15	-4.348494474465403e-28	-7.305644923915775e-28	8.50187343758965e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:39:0	9,12,16	-2.964300834551587e-08	-3.2141518117741864e-08	4.372396517569572e-08	1.6236144337343066e-15	1.7604634499248643e-15	2.3948602021729217e-15	-5.466261675932584e-28	-5.92699454270749e-28	8.062833312121346e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	original		-4.24846106474247e-06	-1.303640770350945e-06	4.443973523408294e-06	2.3269779590091915e-13	7.14033456549118e-14	2.4340645428554403e-13	-7.83429253509167e-26	-2.4039535728264116e-26	8.194823506683834e-26
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:3:0	9,11,12	-5.690302674246148e-08	5.380979506325875e-09	5.715688403771487e-08	3.116707132601318e-15	-2.9472838560330515e-16	3.1306114692960954e-15	-1.0493092694957074e-27	9.922691284083935e-29	1.0539904758969782e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:8:0	9,10,13	-2.3493988490240827e-07	1.1250223383822215e-08	2.352090921800064e-07	1.2868187457266947e-14	-6.162001122086545e-16	1.2882932547120177e-14	-4.332363551030459e-27	2.0745757047283843e-28	4.337327815815141e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:15:0	10,12	2.1647740353834328e-19	-9.762187147669074e-18	9.764587055905537e-18	-1.1856955706567088e-26	5.346970109452032e-25	5.348284593328615e-25	3.991909730869273e-39	-1.8001772578746147e-37	1.8006198083157112e-37
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:17:0	9,13,14	6.5859514452144e-06	-7.895845344778725e-06	1.0281980847452767e-05	-3.6072741678868655e-13	4.32473260435992e-13	5.631672843970752e-13	1.21446965047912e-25	-1.4560181039716778e-25	1.8960288107062496e-25
