R	epsilon	W_toy
4.5522682755073095e+02	1.0000000000000001e-01	4.5511703193118237e+03
5.2664623934842803e+02	1.0000000000000001e-01	5.2655132462235670e+03
6.0927046613686809e+02	1.0000000000000001e-01	6.0918841735400265e+03
7.0485740364519029e+02	1.0000000000000001e-01	7.0478647801815969e+03
8.1544073951851703e+02	1.0000000000000001e-01	8.1537942989942658e+03
9.4337322162997839e+02	1.0000000000000001e-01	9.4332022480375654e+03
1.0913767146512739e+03	1.0000000000000001e-01	1.0913309038407562e+04
1.2626001098748563e+03	1.0000000000000001e-01	1.2625605109175976e+04
1.4606863203649889e+03	1.0000000000000001e-01	1.4606520910840118e+04
1.6898497868124587e+03	1.0000000000000001e-01	1.6898201991608126e+04
1.9549661430912615e+03	1.0000000000000001e-01	1.9549405677026498e+04
2.2616759492228643e+03	1.0000000000000001e-01	2.2616538420474677e+04
2.6165046987488236e+03	1.0000000000000001e-01	2.6164855894950648e+04
3.0270016537634647e+03	1.0000000000000001e-01	3.0269851359030676e+04
3.5019004614317128e+03	1.0000000000000001e-01	3.5018861835575233e+04
4.0513049692353820e+03	1.0000000000000001e-01	4.0512926275894424e+04
4.6869041923141922e+03	1.0000000000000001e-01	4.6868935243279819e+04
5.4222210065015915e+03	1.0000000000000001e-01	5.4222117852115720e+04
6.2728998581962496e+03	1.0000000000000001e-01	6.2728918874162540e+04
7.2570396123242163e+03	1.0000000000000001e-01	7.2570327224722292e+04
8.3955786199951199e+03	1.0000000000000001e-01	8.3955726644857903e+04
9.7127401984711778e+03	1.0000000000000001e-01	9.7127350505974318e+04
1.1236548001387515e+04	1.0000000000000001e-01	1.1236543551624981e+05
1.2999422244132476e+04	1.0000000000000001e-01	1.2999418397809395e+05
1.5038869469554102e+04	1.0000000000000001e-01	1.5038866144837206e+05
1.7398280529303658e+04	1.0000000000000001e-01	1.7398277655457158e+05
2.0127853758499383e+04	1.0000000000000001e-01	2.0127851274380044e+05
2.3285662984981966e+04	1.0000000000000001e-01	2.3285660837738265e+05
2.6938893095901753e+04	1.0000000000000001e-01	2.6938891239849437e+05
3.1165269449294301e+04	1.0000000000000001e-01	3.1165267844944430e+05
3.6054711542505058e+04	1.0000000000000001e-01	3.6054710155723826e+05
4.1711246120565243e+04	1.0000000000000001e-01	4.1711244921847811e+05
4.8255220427412787e+04	1.0000000000000001e-01	4.8255219391255494e+05
5.5825862688626999e+04	1.0000000000000001e-01	5.5825861792984791e+05
6.4584244301969913e+04	1.0000000000000001e-01	6.4584243527787295e+05
7.4716706758680826e+04	1.0000000000000001e-01	7.4716706089486449e+05
8.6438826205982783e+04	1.0000000000000001e-01	8.6438825627539027e+05
1.0000000000000000e+05	1.0000000000000001e-01	9.9999999500000000e+05
1.0000000000000000e+00	2.9999999999999999e-02	9.9955030352236685e-01
1.1568875283162823e+00	2.9999999999999999e-02	1.3375834026598359e+00
1.3383887531737571e+00	2.9999999999999999e-02	1.7898422831431706e+00
1.5483652565854986e+00	2.9999999999999999e-02	2.3948526833891139e+00
1.7912844546220039e+00	2.9999999999999999e-02	3.2040769179120190e+00
2.0723146452190302e+00	2.9999999999999999e-02	4.2862127868741062e+00
2.3974349678010771e+00	2.9999999999999999e-02	5.7328856575733438e+00
2.7735626141984144e+00	2.9999999999999999e-02	7.6661574711874385e+00
3.2086999973704500e+00	2.9999999999999999e-02	1.0248383476363005e+01
3.7121050090663621e+00	2.9999999999999999e-02	1.3695063883970628e+01
4.2944879887892746e+00	2.9999999999999999e-02	1.8291447778761967e+01
4.9682395947343858e+00	2.9999999999999999e-02	2.4413718062740895e+01
5.7476944248353528e+00	2.9999999999999999e-02	3.2555558825598460e+01
6.6494359966650469e+00	2.9999999999999999e-02	4.3360678696644499e+01
7.6926495748791419e+00	2.9999999999999999e-02	5.7661279339739636e+01
8.8995303528852308e+00	2.9999999999999999e-02	7.6521307028888543e+01
1.0295755673125127e+01	2.9999999999999999e-02	1.0128138374859739e+02
1.1911031332830067e+01	2.9999999999999999e-02	1.3359947613085447e+02
1.3779723598335575e+01	2.9999999999999999e-02	1.7547791384617619e+02
1.5941590374559995e+01	2.9999999999999999e-02	2.2926442642605866e+02
1.8442627085855346e+01	2.9999999999999999e-02	2.9761475226983140e+02
2.1336045265014107e+01	2.9999999999999999e-02	3.8341037425974690e+02
2.4683404670686500e+01	2.9999999999999999e-02	4.8963953884735878e+02
2.8555923019901090e+01	2.9999999999999999e-02	6.1927108064651281e+02
3.3035991201283395e+01	2.9999999999999999e-02	7.7516948934852007e+02
3.8218926206331190e+01	2.9999999999999999e-02	9.6010189788106231e+02
4.4214999073744892e+01	2.9999999999999999e-02	1.1768644363895744e+03
