graph,returncode,timed_out,result_emitted,neval,duration_s,max_hwm_gib,avg_total_time_s,avg_integrand_time_s,avg_evaluator_time_s,nan_or_unstable_percent,result_re,error_re,rel_error_re_percent,max_weight_impact_re,result_im,error_im,rel_error_im_percent,max_weight_impact_im,max_weight_re_plus,max_weight_re_minus,max_weight_im_plus,max_weight_im_minus
GL097,0,False,True,20,31.536,8.12,0.000463631,0.000310364,0.000166556,0.0,-4.2720786906449825e-07,4.238822258549828e-05,9922.153980524798,69.70110337226949,3.807006186922332e-05,2.6363824161216037e-05,69.25080461329415,0.5759903781519198,0.0005955371968622312,-0.0005189733837542924,0.0004385597866464184,-0.00010203287005906279
GL099,0,False,True,20,52.575,12.055,0.000382808,0.000260404,0.000227722,0.0,-1.1909552437685711e-07,8.46993339836856e-07,711.1882199340192,4.611029492408742,9.624492408830443e-07,1.1985525131795617e-06,124.5315038203878,1.1536364328436108,1.0983059506311447e-05,-1.0851126170342345e-05,2.220633018090713e-05,-4.91799361897151e-06
GL100,0,False,True,20,52.828,12.029,0.000422082,0.000273743,0.000238125,0.0,1.0113835668891917e-05,9.508153560226912e-06,94.01135109869385,0.91390852646812,-8.968112042840024e-06,1.1057138131503754e-05,123.29393387019034,1.206324830794959,0.0001848624130619545,-2.0233792443665535e-05,3.504168677207289e-05,-0.00021636912485258452
GL102,0,False,True,20,52.493,12.384,0.000451545,0.000289066,0.000251424,0.0,1.3893684779228892e-05,1.0710978746839037e-05,77.09242664589591,0.753505195791587,-6.693942937022312e-06,8.156145937868055e-06,121.84367292345308,1.0478324308918006,0.00020937927339678916,-1.590303689628686e-05,6.434173903844422e-05,-0.00014028260999902176
GL104,0,False,True,20,59.421,12.121,0.000410958,0.000288815,0.000257637,0.0,-1.0583437576338038e-05,1.1462173141875235e-05,108.3029314360188,1.0764320876849134,-7.125368804950553e-06,8.076478262149783e-06,113.34821373089375,1.1179696150137053,1.5467404529334387e-05,-0.00022784703610361032,1.9398270967330696e-05,-0.0001593189163940247
GL105,0,False,True,20,72.889,14.096,0.00038627,0.000271296,0.000240181,0.0,-1.0273874460386316e-06,6.167103957126861e-07,60.02705192579282,0.4408888571770403,7.016258758997081e-07,1.0399358412128002e-06,148.21800006723967,1.448709372575109,2.430811627373775e-06,-9.059273539240208e-06,2.0329039649142545e-05,-1.940588146076361e-06
GL108,0,False,True,20,85.144,14.944,0.000529639,0.000346393,0.000294623,0.0,-6.133959458078126e-07,6.102602974221763e-07,99.48880516621172,0.9586823827114296,-2.4256193634333753e-06,1.6801039117424285e-06,69.26494474237306,0.6304986339022194,1.6189026568766994e-06,-1.1761037737451295e-05,5.579425494745724e-06,-3.058699390023028e-05
GL109,0,False,True,20,72.517,14.261,0.000449739,0.000295158,0.000256807,0.0,1.6255241994873383e-07,4.6021154686341717e-07,283.11577705737,2.5097117393373556,2.5196351402060516e-07,3.789610324722716e-07,150.40313830568374,1.4034981797010753,8.159194332060661e-06,-3.0614127892282662e-06,7.072606665580114e-06,-1.5131440668044252e-06
GL111,0,False,True,20,85.58,14.755,0.000474949,0.000310913,0.000265648,0.0,-5.833056111326496e-06,6.854633457443335e-06,117.51358681657737,1.1547446686318936,9.68080140811149e-06,1.0699083917356552e-05,110.51857657561128,1.088447605406748,1.8637268165558625e-05,-0.00013471380892769914,0.00021074090222154452,-2.9449723587398433e-05
GL117,0,False,True,20,85.341,14.808,0.000505144,0.000332788,0.000289534,0.0,-8.732290949679646e-07,1.1386144122694778e-06,130.39125915877196,0.92499790686031,3.5821456196789047e-07,1.3377343730581854e-06,373.44500059104155,3.223897642807462,7.718929072934639e-06,-1.6154701701097802e-05,2.3096941638951794e-05,-9.564385949789631e-06
